错误类型,源,工作,语言,句段,链接
拼写,北京大学法学院教授湛中乐、中国人民大学法学院教授周珂等众多法学界专业人士和动物保护组织的代表共一百余人参加了这次会议。,2015春季通讯,en,34,跳到句段
拼写,它基金理事长为国际爱护动物基金会(IFAW)“拯救大象罗拉”项目拍摄的公益广告，呼吁保护野生动物是我们应尽的责任。,2014及以前,en,5,跳到句段
拼写,著名主持人李静、崔永元、张越担任主持，汪峰、朱茵、康辉、元元、郑渊洁、爱戴等知名人士也到场支持。,2014及以前,en,37,跳到句段
拼写,它基金理事、央视主持人张越、康辉，以及它基金第一任理事长、著名主持人李静参加了项目的启动仪式。,2015冬季通讯,en,14,跳到句段
拼写,它基金理事长张越赴非洲参与了国际爱护动物基金会的“保护大象罗拉”系列活动；,2015冬季通讯,en,40,跳到句段
拼写,执行秘书长 张小海,2015冬季通讯,en,55,跳到句段
拼写,理  事长张越和康辉等理事一起听取了执行团队的工作汇报和下半年的工作计划。,2015夏季通讯,en,32,跳到句段
拼写,张小海,2015夏季通讯,en,44,跳到句段
拼写,它基金理事，央视著名主持人张越、康辉联名推荐了本书。,2015春季通讯,en,70,跳到句段
拼写,我们的理事长张越女士，著名编剧史航先生、北京人民广播电台著名主持人刘思伽女士以及它radio主播韩涛先生和来自不同地方的热心听众一起，朗读了它radio过往的精选节目，分享了他们各自与动物之间感人至深的故事。,2015秋季通讯,en,21,跳到句段
拼写,执行秘书长 张小海,2015秋季通讯,en,34,跳到句段
拼写,开户行： 中国工商银行北京阜外大街支行,2015冬季通讯,en,59,跳到句段
拼写,还有一个好消息是，我们获得了浙江敦和慈善基金会设立的“敦和种子基金”的捐赠。,2015冬季通讯,en,32,跳到句段
拼写,著名主持人李静、崔永元、张越担任主持，汪峰、朱茵、康辉、元元、郑渊洁、爱戴等知名人士也到场支持。,2014及以前,en,37,跳到句段
拼写,3月11日，它基金与它基金长期的合作伙伴，著名动物保护人士莽萍女士一起，邀请了罗胜联、郑孝和两位全国人大代表以及二十余位记者朋友，举办了2015年第一次记者沙龙。,2015春季通讯,en,48,跳到句段
拼写,我们在北京图书大厦举行了新书发布会及现场签售活动。,2015夏季通讯,en,12,跳到句段
拼写,北京大学法学院教授湛中乐、中国人民大学法学院教授周珂等众多法学界专业人士和动物保护组织的代表共一百余人参加了这次会议。,2015春季通讯,en,34,跳到句段
拼写,北京大学法学院教授湛中乐、中国人民大学法学院教授周珂等众多法学界专业人士和动物保护组织的代表共一百余人参加了这次会议。,2015春季通讯,en,34,跳到句段
拼写,著名主持人李静、崔永元、张越担任主持，汪峰、朱茵、康辉、元元、郑渊洁、爱戴等知名人士也到场支持。,2014及以前,en,37,跳到句段
日期和数字,2014.12.31,2014及以前,en,2,跳到句段
日期和数字,2014.11.19,2014及以前,en,4,跳到句段
日期和数字,2014.9.28,2014及以前,en,7,跳到句段
日期和数字,2014.4.12,2014及以前,en,10,跳到句段
日期和数字,此次关爱流浪动物的活动分别在深圳、成都、上海、天津、北京5个城市举办。,2014及以前,en,12,跳到句段
日期和数字,2013.11.13,2014及以前,en,14,跳到句段
日期和数字,2013.8.23,2014及以前,en,17,跳到句段
日期和数字,2013.6.4,2014及以前,en,19,跳到句段
日期和数字,2012.12.31,2014及以前,en,24,跳到句段
日期和数字,2012.12.29,2014及以前,en,26,跳到句段
日期和数字,2012.5.22,2014及以前,en,28,跳到句段
日期和数字,2011.8.28,2014及以前,en,33,跳到句段
日期和数字,2011.5.29,2014及以前,en,35,跳到句段
日期和数字,2011.5.19,2014及以前,en,38,跳到句段
日期和数字,2010.6.5,2014及以前,en,40,跳到句段
日期和数字,2009.7.25,2014及以前,en,44,跳到句段
日期和数字,2015年12月30日到2016年1月29日，全国人大就《野生动物保护法》公开征求意见。,2015冬季通讯,en,9,跳到句段
日期和数字,12月20日，我们还实现了一个梦想。,2015冬季通讯,en,11,跳到句段
日期和数字,我们要感谢8500多位为我们捐款的朋友。,2015冬季通讯,en,16,跳到句段
日期和数字,短短三个月的时间，他们为该项目捐了65.5万。,2015冬季通讯,en,17,跳到句段
日期和数字,12月，我们在首都国际机场到达厅的电子大屏上发布了我们精心设计的、独特的穿山甲宣传海报，呼吁人们不要消费穿山甲。,2015冬季通讯,en,24,跳到句段
日期和数字,12月14日，归真堂在资本市场上第三次卷土重来，宣布申请登陆“新三板”。,2015冬季通讯,en,25,跳到句段
日期和数字,它基金于12月15日发表声明，并给新三板管理机构发函表示反对。,2015冬季通讯,en,26,跳到句段
日期和数字,12月24日，我们又召开了新闻发布会，呼吁包括归真堂在内的养熊企业转型。,2015冬季通讯,en,27,跳到句段
日期和数字,它radio自2015年3月开播以来，共编辑了20多万字的文字资料，播出有关动物保护的音频节目近200期，达到了16万人次的收听量，还有众多名人献声支持。,2015冬季通讯,en,31,跳到句段
日期和数字,1. 10月31日，为了帮助它基金流浪动物救护车项目筹款，央华时代文化为它基金举办了《流浪狗之歌》亲子音乐剧义演活动，八百多名支持者到场观看演出；,2015冬季通讯,en,38,跳到句段
日期和数字,2．,2015冬季通讯,en,39,跳到句段
日期和数字,3．,2015冬季通讯,en,41,跳到句段
日期和数字,11月底，它基金与如果宠物、艺典中国合作的“暖冬猫窝”行动圆满结束，我们用明星物品的拍款购置了100个猫窝，为冬日流浪猫送去温暖。,2015冬季通讯,en,42,跳到句段
日期和数字,最后还要向您报告的是，它基金于12月20日召开了理事会，总结了2015年的工作，批准了2016年的工作计划和预算。,2015冬季通讯,en,43,跳到句段
日期和数字,2016年1月14日,2015冬季通讯,en,56,跳到句段
日期和数字,4月11日，我们按计划推出了“它出版”项目的两本书籍：,2015夏季通讯,en,10,跳到句段
日期和数字,4月16日和17日，中国农业国际合作促进会动物福利国际合作委员 会（ICCAW）举办了“2015中欧生猪发展大会”。,2015夏季通讯,en,13,跳到句段
日期和数字,4月24日，它基金与人道对待动物协会合作启动“保护穿山甲项目”。,2015夏季通讯,en,15,跳到句段
日期和数字,5月中旬，我们与动物保护组织“与牠同行”签署了战略合作协议，  双方决定在为流浪和救助动物提供绝育服务方面进行合作。,2015夏季通讯,en,20,跳到句段
日期和数字,5月19日是它基金四周年纪念日。,2015夏季通讯,en,21,跳到句段
日期和数字,5月24日，它基金与全国人大环资委法案室和国务院发展研究中心一起，组织召开了“《野生动物保护法》修改座谈会”。,2015夏季通讯,en,26,跳到句段
日期和数字,这是我们继1月份的“野生动物保护法制建设研讨会”之后，在为《野生动    物保护法》修法工作提供助力的又一次努力。,2015夏季通讯,en,27,跳到句段
日期和数字,6月中旬，我们完善了员工劳动合同及员工手册；整理了 基金会4年的工作档案；改进了基金会的财务管理制度。,2015夏季通讯,en,30,跳到句段
日期和数字,6月27日，它基金根据章程召开了2015年年中理事会。,2015夏季通讯,en,31,跳到句段
日期和数字,6月底，我们高兴地领到了北京市民政局颁发的“4A级社会组织”证书。,2015夏季通讯,en,33,跳到句段
日期和数字,它基金秋季工作报告将在10月份才能发出了。,2015夏季通讯,en,40,跳到句段
日期和数字,执行秘书长2015年7月30日,2015夏季通讯,en,45,跳到句段
日期和数字,2015年4月22日,2015春季通讯,en,26,跳到句段
日期和数字,2015年1月31日，它基金与国务院发展研究中心资源与环境政策研究所联合举办了“中国野生动物保护法制研讨会”。,2015春季通讯,en,29,跳到句段
日期和数字,2015年3月，它基金再次启动了“它基金记者沙龙”项目。,2015春季通讯,en,45,跳到句段
日期和数字,2015年3月，在全国两会期间，不少人大代表、政协委员呼吁加快动物保护立法进程。,2015春季通讯,en,47,跳到句段
日期和数字,3月11日，它基金与它基金长期的合作伙伴，著名动物保护人士莽萍女士一起，邀请了罗胜联、郑孝和两位全国人大代表以及二十余位记者朋友，举办了2015年第一次记者沙龙。,2015春季通讯,en,48,跳到句段
日期和数字,罗胜联代表连续3年提出关于修订《野生动物保护法》的议案。,2015春季通讯,en,50,跳到句段
日期和数字,罗代表透露，今年12月，《野生动物保护法》的修订工作就可能完成。,2015春季通讯,en,52,跳到句段
日期和数字,2015年3月9日，它基金创办了自己的音频节目，这是中国大陆第一家动物保护公益电台，在荔枝fm、喜马拉雅fm、蜻蜓fm等互联网音频平台上每天播出真实的动物情感故事。,2015春季通讯,en,63,跳到句段
日期和数字,截至三月底，它 radio的收听量累计近1万次。,2015春季通讯,en,64,跳到句段
日期和数字,从1月开始，它基金开始策划有关动物保护的出版物。,2015春季通讯,en,67,跳到句段
日期和数字,3月，它基金第二本书《鸟人鸟事》的宣传视频也已成功拍摄。,2015春季通讯,en,85,跳到句段
日期和数字,1月10日，“生态摄影师野生动物保护联盟”宣布成立，并且启动了一个名为“抢救大鸨行动”的公益活动。,2015春季通讯,en,94,跳到句段
日期和数字,从1月份开始，它基金与中国农业国际合作促进会动物福利国际合作委员会取得联系，共同商讨有关合作推进农场动物福利的计划。,2015春季通讯,en,100,跳到句段
日期和数字,3月，我们参加了自然大学《奇妙的朋友》媒体见面会。,2015春季通讯,en,103,跳到句段
日期和数字,3月底，我们与HIS以及大连微善的工作人员讨论了开展实验动物福利的计划。,2015春季通讯,en,105,跳到句段
日期和数字,今年的慈善月历义卖，共筹得4万余元的善款，我们还将部分月历赠送给支持者、志愿者、合作伙伴用于关系维护。,2015春季通讯,en,107,跳到句段
日期和数字,1月，我们购买了“灵析”客户管理软件，用于管理会员及志愿者数据库。,2015春季通讯,en,108,跳到句段
日期和数字,2月，我们向支持者、志愿者、会员、媒体、公益同行送去了新春的祝福。,2015春季通讯,en,109,跳到句段
日期和数字,3月初，老牛基金会来访，进一步了解了它基金促进立法项目的情况，计划为促进立法项目进行大额资助。,2015春季通讯,en,110,跳到句段
日期和数字,1月3日北京爱它动物保护公益基金会第二届理事会第四次会议成功召开；,2015春季通讯,en,113,跳到句段
日期和数字,1月底，基金会执行团队搬迁至新的办公室；,2015春季通讯,en,114,跳到句段
日期和数字,2月，基金会召开了内部的财务会议，将预算及财务科目进行了分类；,2015春季通讯,en,115,跳到句段
日期和数字,3月，基金会2014年的年检报告已经完成，并提交北京市民政局审核；,2015春季通讯,en,116,跳到句段
日期和数字,3月，基金会官方网站改版工作开始，预计4月份结束。,2015春季通讯,en,117,跳到句段
日期和数字,它基金“流浪动物救护车”项目在腾讯“99公益日”活动中三天捐了五十万！,2015秋季通讯,en,10,跳到句段
日期和数字,2015年11月6日,2015秋季通讯,en,35,跳到句段
术语,2015年12月30日到2016年1月29日，全国人大就《野生动物保护法》公开征求意见。,2015冬季通讯,en,9,跳到句段
术语,5月24日，它基金与全国人大环资委法案室和国务院发展研究中心一起，组织召开了“《野生动物保护法》修改座谈会”。,2015夏季通讯,en,26,跳到句段
术语,这是我们继1月份的“野生动物保护法制建设研讨会”之后，在为《野生动    物保护法》修法工作提供助力的又一次努力。,2015夏季通讯,en,27,跳到句段
术语,这次会议的主要议题是《野生动物保护法》的修订问题，是政府智库与民间机构合作的一次有益尝试。,2015春季通讯,en,30,跳到句段
术语,全国人大法制工作委员会以及环境与资源保护委员会的官员全程参加了会议，认真听取了与会者提出的《野生动物保护法》修改意见。,2015春季通讯,en,31,跳到句段
术语,大部分与会者都认为，当前的《野生动物保护法》所鼓励的野生动物的“合理利用”对野生动物保护不利，应该修改；《野生动物保护法》应该增加动物福利方面的内容。,2015春季通讯,en,36,跳到句段
术语,罗胜联代表连续3年提出关于修订《野生动物保护法》的议案。,2015春季通讯,en,50,跳到句段
术语,罗代表透露，今年12月，《野生动物保护法》的修订工作就可能完成。,2015春季通讯,en,52,跳到句段
术语,九月十日，我们与《野生动物保护法》修法相关的系列活动全面结束了。,2015秋季通讯,en,5,跳到句段
术语,明年初，新的《野生动物保护法》草案即将公开征求公众意见，我们还将不遗余力地推动这部重要的法律摒弃现有的各种弊病，向着更进步、更文明、更科学、更有力的方向修订。,2015秋季通讯,en,8,跳到句段
术语,它基金“流浪动物救护车”项目在腾讯“99公益日”活动中三天捐了五十万！,2015秋季通讯,en,10,跳到句段
术语,3月11日，它基金与它基金长期的合作伙伴，著名动物保护人士莽萍女士一起，邀请了罗胜联、郑孝和两位全国人大代表以及二十余位记者朋友，举办了2015年第一次记者沙龙。,2015春季通讯,en,48,跳到句段
术语,北京爱它动物保护公益基金会正式成立。,2014及以前,en,39,跳到句段
术语,希望您能通过它，了解我们这样一个充满激情的、独特的动物保护公益基金会。,2015春季通讯,en,21,跳到句段
术语,1月3日北京爱它动物保护公益基金会第二届理事会第四次会议成功召开；,2015春季通讯,en,113,跳到句段
术语,在北京中华世纪坛举办第一届“爱及生灵”公益晚会。,2014及以前,en,41,跳到句段
术语,北京爱它动物保护公益基金会正式成立。,2014及以前,en,39,跳到句段
术语,1月3日北京爱它动物保护公益基金会第二届理事会第四次会议成功召开；,2015春季通讯,en,113,跳到句段
术语,2015年已经过去一大半了，我们决定不像印制《春季通讯》那样印制《夏季通讯》。,2015夏季通讯,en,3,跳到句段
术语,它radio自2015年3月开播以来，共编辑了20多万字的文字资料，播出有关动物保护的音频节目近200期，达到了16万人次的收听量，还有众多名人献声支持。,2015冬季通讯,en,31,跳到句段
术语,它基金于12月15日发表声明，并给新三板管理机构发函表示反对。,2015冬季通讯,en,26,跳到句段
术语,我们觉得，这件事是对我们它基金的理想以及各项工作的一种肯定，更给我们在基金会运营方面解决了具体的困难，提供了更多的运营思路。,2015冬季通讯,en,34,跳到句段
术语,它基金理事长张越赴非洲参与了国际爱护动物基金会的“保护大象罗拉”系列活动；,2015冬季通讯,en,40,跳到句段
术语,11月底，它基金与如果宠物、艺典中国合作的“暖冬猫窝”行动圆满结束，我们用明星物品的拍款购置了100个猫窝，为冬日流浪猫送去温暖。,2015冬季通讯,en,42,跳到句段
术语,首先要告诉您的是，它基金工作团队增加了一名正式员工和两名志愿者，从四个人变成了七个人。,2015夏季通讯,en,7,跳到句段
术语,5月24日，它基金与全国人大环资委法案室和国务院发展研究中心一起，组织召开了“《野生动物保护法》修改座谈会”。,2015夏季通讯,en,26,跳到句段
术语,希望它基金能够在中国野生动物保护立法方面，做出历史性的贡献。,2015夏季通讯,en,29,跳到句段
术语,6月27日，它基金根据章程召开了2015年年中理事会。,2015夏季通讯,en,31,跳到句段
术语,我们热切地希望得到您的支持，帮助我们把它基金和它基金执行的动物保护传播项目介绍给您身边的朋友和有影响力的人士，帮助我们发现和挖掘项目拓展以及募集资金的资源和机会。,2015夏季通讯,en,37,跳到句段
术语,最近几个月以来，它基金调整了工作策略，决心致力于传播。,2015春季通讯,en,11,跳到句段
术语,我会把它基金带去哪里？,2015春季通讯,en,17,跳到句段
术语,八个月以来，特别是今年的前三个月，它基金的同事们紧锣密鼓地做了很多事，现在看来，我们的策略似乎还算对路。,2015春季通讯,en,19,跳到句段
术语,它基金执行秘书长 张小海,2015春季通讯,en,25,跳到句段
术语,“中国野生动物保护法制研讨会”是它基金整体工作策略的一部分，也是它基金促进动物福利方面的法制建设的一次努力。,2015春季通讯,en,37,跳到句段
术语,在促进立法方面，它基金还将关注《反对虐待动物法》等立法话题。,2015春季通讯,en,38,跳到句段
术语,2015年，它基金再次启动了“它基金记者沙龙”项目。,2015春季通讯,en,42,跳到句段
术语,该项目旨在继续保持它基金的媒体人本色，为关注动物保护话题的媒体记者提供了解、讨论和传播动物保护话题的机会。,2015春季通讯,en,43,跳到句段
术语,2015年3月，它基金再次启动了“它基金记者沙龙”项目。,2015春季通讯,en,45,跳到句段
术语,它基金自媒体平台，是它基金传播策略的重要战略布局。,2015春季通讯,en,46,跳到句段
术语,它基金自媒体平台,2015春季通讯,en,53,跳到句段
术语,它基金自媒体平台的建设，是它基金“致力于传播”策略的重要组成部分。,2015春季通讯,en,55,跳到句段
术语,另外，它基金还参与了陈晓东先生的另外一本书《鸟人鸟事》的出版工作。,2015春季通讯,en,71,跳到句段
术语,目前，《天鹅之痛》和《鸟人鸟事》两本书均在它基金网店有售。,2015春季通讯,en,73,跳到句段
术语,它基金的工作范围扩大到为伴侣动物、野生动物和农场动物。,2015春季通讯,en,83,跳到句段
术语,3月，它基金第二本书《鸟人鸟事》的宣传视频也已成功拍摄。,2015春季通讯,en,85,跳到句段
术语,它基金公益同行,2015春季通讯,en,87,跳到句段
术语,“它基金公益同行”项目即为这样的合作而设。,2015春季通讯,en,91,跳到句段
术语,3月初，老牛基金会来访，进一步了解了它基金促进立法项目的情况，计划为促进立法项目进行大额资助。,2015春季通讯,en,110,跳到句段
术语,继一月份的《中国野生动物保护法制研讨会》和五月二十四日的《野生动物保护法修法专家座谈会》之后，它基金于八月十五日、八月二十一日和九月十日分别在北京和华盛顿主办或协办了两次专家座谈会和一次美中野生动物保护法国际研讨会。,2015秋季通讯,en,6,跳到句段
术语,它基金“流浪动物救护车”项目在腾讯“99公益日”活动中三天捐了五十万！,2015秋季通讯,en,10,跳到句段
术语,它基金的穿山甲保护项目也没闲着。,2015秋季通讯,en,22,跳到句段
术语,它基金于12月15日发表声明，并给新三板管理机构发函表示反对。,2015冬季通讯,en,26,跳到句段
术语,它基金于12月15日发表声明，并给新三板管理机构发函表示反对。,2015冬季通讯,en,26,跳到句段
术语,2015年已经过去一大半了，我们决定不像印制《春季通讯》那样印制《夏季通讯》。,2015夏季通讯,en,3,跳到句段
术语,它基金联合72名知名人士正式致函证监会，反对从事活熊取胆的福建归真堂药业的上市申请。,2014及以前,en,31,跳到句段
术语,它基金理事长为国际爱护动物基金会(IFAW)“拯救大象罗拉”项目拍摄的公益广告，呼吁保护野生动物是我们应尽的责任。,2014及以前,en,5,跳到句段
术语,它基金理事、央视主持人张越、康辉，以及它基金第一任理事长、著名主持人李静参加了项目的启动仪式。,2015冬季通讯,en,14,跳到句段
术语,它基金理事长张越赴非洲参与了国际爱护动物基金会的“保护大象罗拉”系列活动；,2015冬季通讯,en,40,跳到句段
术语,理  事长张越和康辉等理事一起听取了执行团队的工作汇报和下半年的工作计划。,2015夏季通讯,en,32,跳到句段
术语,我们的理事长张越女士，著名编剧史航先生、北京人民广播电台著名主持人刘思伽女士以及它radio主播韩涛先生和来自不同地方的热心听众一起，朗读了它radio过往的精选节目，分享了他们各自与动物之间感人至深的故事。,2015秋季通讯,en,21,跳到句段
术语,它基金联合72名知名人士正式致函证监会，反对从事活熊取胆的福建归真堂药业的上市申请。,2014及以前,en,31,跳到句段
标点,2014.12.31,2014及以前,en,2,跳到句段
标点,2014.11.19,2014及以前,en,4,跳到句段
标点,著名歌手齐秦、萧敬腾、朱茵、康辉等热情地帮助宣传“灰丝带”行动。,2014及以前,en,9,跳到句段
标点,它基金携手雀巢宠优举办关爱流浪动物“帮助它”大型宣传活动。,2014及以前,en,11,跳到句段
标点,由腾讯视频、香港爱护动物协会以及它基金共同出品的公益微电影《爱情鸟》正式上映。,2014及以前,en,15,跳到句段
标点,2012年底，它基金发起国内首个规模化助疗犬公益项目“助爱天使”。,2014及以前,en,20,跳到句段
标点,它基金联合72名知名人士正式致函证监会，反对从事活熊取胆的福建归真堂药业的上市申请。,2014及以前,en,31,跳到句段
标点,沙龙定期开展活动，关注动物保护话题。,2014及以前,en,46,跳到句段
标点,从2015年夏天开始，我们就与深圳华强数字动漫有限公司出品的《熊出没之熊心归来》讨论了公益宣传方面的合作。,2015冬季通讯,en,20,跳到句段
标点,我们希望能通过这部很有影响力的动画电影，告诉小朋友们动物表演对动物的伤害，倡导让野生动物回归野外的理念。,2015冬季通讯,en,21,跳到句段
标点,央视主持人、它基金理事康辉强调了活熊取胆这个行业不符合我们国家在十三五期间大力倡导的创新、协调、绿色、开放和共享的五大发展理念；前国家首席兽医师、中国兽医协会会长贾幼陵也以资深兽医的身份讲解了无管引流对黑熊健康造成的巨大伤害，他还呼吁兽医从业者都不要做这样伤害动物的事情。,2015冬季通讯,en,28,跳到句段
标点,它radio自2015年3月开播以来，共编辑了20多万字的文字资料，播出有关动物保护的音频节目近200期，达到了16万人次的收听量，还有众多名人献声支持。,2015冬季通讯,en,31,跳到句段
标点,还有一个好消息是，我们获得了浙江敦和慈善基金会设立的“敦和种子基金”的捐赠。,2015冬季通讯,en,32,跳到句段
标点,这笔捐赠将用于投资“敦和慈善基金”，并将投资回报用于基金会的管理费用。,2015冬季通讯,en,33,跳到句段
标点,我们要郑重地对敦和慈善基金会的善举表示感谢。,2015冬季通讯,en,35,跳到句段
标点,中国保护动物记者沙龙是它基金的前身。,2015春季通讯,en,41,跳到句段
标点,2015年，它基金再次启动了“它基金记者沙龙”项目。,2015春季通讯,en,42,跳到句段
标点,中国保护动物记者沙龙是它基金的前身。,2015春季通讯,en,44,跳到句段
标点,罗胜联代表连续3年提出关于修订《野生动物保护法》的议案。,2015春季通讯,en,50,跳到句段
